Priority,Business Name,Type,Phone,Rating,Reviews,Address,Maps Link,Website
C - Restaurant,Handi X-press,north_indian_restaurant,096500 01213,3.7,408,"Shop No 4,Housing Board, Shopping Complex, Mehrauli-Gurgaon Rd, Saraswati Vihar, Maruti Housing Colony, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=16350720095081073948&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,http://www.handixpress.in/
C - Restaurant,Dana Pani Restaurant,north_indian_restaurant,097171 58046,3.8,403,"GH-1, Old Delhi Gurugram Rd, Palam Vihar Extension, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=10481997050240310480&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,
C - Restaurant,Lynx Gurugram | BYOB,restaurant,098736 11551,4.7,319,"UNIT NO 1, Udyog Vihar Phase III, near RADISSON HOTEL, Kapas Hera Estate, Gurugram, Haryana 122022, India",https://maps.google.com/?cid=5359065189312323330&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,
C - Restaurant,EVOO - Gurugram,italian_restaurant,099992 33403,4.4,298,"The Kitchens, Unit No 7, Ground Floor, TOWER-A, Global Gateway Towers, Sikanderpur, Sector 26, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=14432429153690666781&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,https://www.evooeaterypizzeria.com/
C - Restaurant,Niko - Modern Asian,restaurant,099100 16717,4.3,267,"The Kitchens, Ground Floor, Tower A, Global Gateway Towers, Mehrauli-Gurgaon Rd, Sikanderpur, Sector 26, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=5455108152627346429&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,http://www.nikoindia.in/
C - Restaurant,Punjabi Tadka Restaurant,north_indian_restaurant,099103 07510,3.5,257,"Shop Number -120 , Basement Market, U Block, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",https://maps.google.com/?cid=13807943543595407305&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,
C - Restaurant,Anjeer - New Age Indian,indian_restaurant,084478 02226,4.4,222,"Ground Floor, TOWER-A, Global Gateway Towers, Unit 6, Mehrauli-Gurgaon Rd, Sikanderpur, Sector 26, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=16024710625243929969&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,https://www.anjeer.restaurant/
C - Restaurant,Zanotta,restaurant,097175 96088,4.3,217,"The Leela Ambience Gurugram Hotel, 8, National Highway, Ambience Island, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",https://maps.google.com/?cid=3482770990430468600&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,https://www.theleela.com/the-leela-ambience-gurugram-hotel-residences/restaurants/zanotta?utm_source=GMBlisting&utm_medium=organic&utm_campaign=gbp-leela-ambience-hotel-residences-gurugram-zanotta&utm_content=restaurant-website-click
C - Restaurant,Biryani By Kilo- Palam Vihar,indian_restaurant,1800 212 2212,4,195,"Shop No 1, H No. 586, Palam Vihar, Sector 20, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=9914143530843275815&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,https://web.biryanibykilo.com/
C - Restaurant,Nikhil Food Point,north_indian_restaurant,098109 26355,3.7,189,"U-69, 3, U Block, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=14836787195511127146&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,
