name,primary_type,all_types,phone,website,address,rating,reviews,status,maps_url,place_id
C1777,apartment_building,apartment_building|service|point_of_interest|establishment,,,"C1777, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009, India",,,OPERATIONAL,https://maps.google.com/?cid=11320153168972125413&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJX5z8YgAZDTkR5ZSYl1RDGZ0
C1759,apartment_building,apartment_building|service|point_of_interest|establishment,,,"1759, Sushant Lok Rd, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009, India",,,OPERATIONAL,https://maps.google.com/?cid=9311532120645577100&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJ6UBHiasZDTkRjCm4DSE1OYE
Ritika - Kiart,service,service|point_of_interest|establishment,098102 73332,,"2nd floor, C 1753, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009, India",,,OPERATIONAL,https://maps.google.com/?cid=17256836400277058187&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJt5jJwvsZDTkRi3KLgUaZfO8
1766 Niwas homes,apartment_building,apartment_building|service|point_of_interest|establishment,,,"F33P+835, 1683, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009, India",,,OPERATIONAL,https://maps.google.com/?cid=12527206156034944360&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJG51bPAAZDTkRaK2MfqCT2a0
Jay Dwarka Dhish,apartment_complex,apartment_complex|service|point_of_interest|establishment,,,"F33P+835, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009, India",4.5,4,OPERATIONAL,https://maps.google.com/?cid=3236740214399633140&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJma1lSp8ZDTkR9AaDdRM26yw
Chittaranjan_house,apartment_building,apartment_building|service|point_of_interest|establishment,,,"F33P+835, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009, India",5,1,OPERATIONAL,https://maps.google.com/?cid=9681837110724330860&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJeeCIRwAZDTkRbAXrPY7LXIY
C1761,apartment_building,apartment_building|service|point_of_interest|establishment,,,"C1761, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009, India",,,OPERATIONAL,https://maps.google.com/?cid=9668241944824484684&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJZ-rrkVIZDTkRTJPLA9N-LIY
Grovers,private_guest_room,private_guest_room|lodging|point_of_interest|establishment,097189 90983,,"C-1780, Block C, Sushant Lok Phase I, Kanahi, Gurugram, Haryana 122009, India",,,OPERATIONAL,https://maps.google.com/?cid=13053568804349862832&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJSwwzdecZDTkRsONksqqXJ7U
Padmalaya,apartment_building,apartment_building|service|point_of_interest|establishment,,,"1684, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009, India",,,OPERATIONAL,https://maps.google.com/?cid=5836732153244070031&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJQyFmCQAZDTkRj7A2E_g8AFE
C-1679,apartment_building,apartment_building|service|point_of_interest|establishment,,,"1679, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009, India",,,OPERATIONAL,https://maps.google.com/?cid=16791038275535254004&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJtY1rcAAZDTkR9DFET1nABek
"C1762, Sushant Lok 1, Block C",apartment_building,apartment_building|service|point_of_interest|establishment,,,"C1762, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009, India",,,OPERATIONAL,https://maps.google.com/?cid=2316018585045972349&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJzVn8TQAZDTkRfTXe3qEmJCA
