name,primary_type,all_types,phone,website,address,rating,reviews,status,maps_url,place_id
Sonia tour and travels,tour_agency,tour_agency|travel_agency|transportation_service|service|point_of_interest|establishment,,,"G39J+P9J, Main Rd, Kapas Hera Extension, Kapas Hera, New Delhi, Delhi 110097, India",,,OPERATIONAL,https://maps.google.com/?cid=10089766820902649909&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJUfPFYQAbDTkRNcBsOncNBow
ENROUTE TOUR N TRAVEL PVT LTD,travel_agency,travel_agency|transportation_service|service|point_of_interest|establishment,097006 49700,https://www.enroute.travel/,"Khasra No, 37/17, D Block, Kapas Hera Estate, New Delhi, Delhi 110097, India",4.8,220,OPERATIONAL,https://maps.google.com/?cid=16756398329523466790&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJRZAeNAUbDTkRJvIxYoCviug
ADITYA BUS SERVICES PRIVATE LIMITED,transportation_service,transportation_service|point_of_interest|establishment,,https://www.abspl.group/,"FIRST FLOOR , KHASRA NO 37/17, D Block, Kapas Hera Estate, New Delhi, Delhi 110097, India",5,13,OPERATIONAL,https://maps.google.com/?cid=2139104966260159285&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJmSFbJcUZDTkRNfM1I6Kgrx0
MSR Bonded Dc,transportation_service,transportation_service|point_of_interest|establishment,,,"G3CM+C7H, C69, DC Officers St, D Block, Kapas Hera Estate, New Delhi, Delhi 110097, India",5,2,OPERATIONAL,https://maps.google.com/?cid=18195960765744774485&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJRwITHz4bDTkRVX0p_egJhfw
Ram Lal,storage,storage|point_of_interest|establishment,,,"G3CM+FFM, DC Officers St, opposite D.C. Officer's Street, D Block, Kapashera Border, Kapas Hera Estate, New Delhi, Delhi 110097, India",,,OPERATIONAL,https://maps.google.com/?cid=6534983260518579660&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJFVc_ouEbDTkRzH1V0KbssFo
Skynet WorldWide Express,courier_service,courier_service|shipping_service|service|point_of_interest|establishment,088088 08500,https://skynetww.com/,"Second Floor ,JMK Tower NH-8, Mustatil No. 44,Killa, No. 5, 5, near HDFC Bank, D Block, Kapas Hera, New Delhi, Delhi 110097, India",3.1,157,OPERATIONAL,https://maps.google.com/?cid=6468449806539115153&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJxcc7LBUcDTkRkUo15tOMxFk
Raman Bus Service (Raman Travels),transportation_service,transportation_service|point_of_interest|establishment,098115 45402,,"Old Delhi Gurugram Rd, D Block, Samalkha, Kapas Hera Estate, New Delhi, Delhi 110097, India",4.3,71,OPERATIONAL,https://maps.google.com/?cid=15207622065108211396&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJx_KWeV8ZDTkRxNYq3bFTDNM
शाहदरा दिलशाद,storage,storage|point_of_interest|establishment,,,"G3CM+GJW, D ब्लॉक, मानसरोवर पार्क, शाहदरा, नई दिल्ली, दिल्ली 110097, India",,,OPERATIONAL,https://maps.google.com/?cid=1999326360271999458&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJo_fXQQAbDTkR4lEWVrsIvxs
ABR (AHMEDABAD BENGAL ROADWAYS PVT. LTD.),corporate_office,corporate_office|transportation_service|point_of_interest|establishment,011 4168 6077,,"G3CM+HG2, D Block, Kapas Hera, New Delhi, Delhi 110097, India",4.4,41,OPERATIONAL,https://maps.google.com/?cid=3429292538923147232&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJM5xCKmIXDTkR4F9pHWVLly8
Mega Cabs uber black,taxi_service,taxi_service|transportation_service|service|point_of_interest|establishment,,,"D Block, C44, D Block, Kapas Hera Estate, New Delhi, Delhi 110097, India",5,1,OPERATIONAL,https://maps.google.com/?cid=2691488917832741814&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJhbbVCgAbDTkRtjNSIOkWWiU
