name,primary_type,all_types,phone,website,address,rating,reviews,status,maps_url,place_id
Aura Ka Kutumbh,apartment_building,apartment_building|point_of_interest|service|establishment,,,"23/17, S Block Main Rd, S Block, Garden Estate, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",5,1,OPERATIONAL,https://maps.google.com/?cid=17303231109869853657&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJFVpUCgAfDTkR2dtHmgRtIfA
Apt Network Private Limited,,event_venue|point_of_interest|service|establishment,0124 404 1871,https://www.aptnetwork.in/,"BUILDING NO -12, 2ND FLOOR, ROAD, NO - 22, BLOCK - S, 22/12, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",4.8,50,OPERATIONAL,https://maps.google.com/?cid=7135225498469172185&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJWy8GiwYZDTkR2YOQbMlpBWM
Apt Xperiential,,point_of_interest|establishment,,https://www.aptxperiential.in/,"Second Floor, S22/12, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",5,13,OPERATIONAL,https://maps.google.com/?cid=8405135948891449338&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJSXie7-kfDTkR-meK-pwKpXQ
UMANG WORLD,consultant,consultant|health|point_of_interest|service|establishment,098103 04667,http://www.umangworld.com/,"Second Floor, S-22/12, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",5,47,OPERATIONAL,https://maps.google.com/?cid=11739998409602892509&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJRwL_iiAZDTkR3QIINFra7KI
Saaba Arora Makeup,makeup_artist,makeup_artist|point_of_interest|establishment,,,"S-22, 14, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",5,3,OPERATIONAL,https://maps.google.com/?cid=1204033076732638271&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJOyL4BE0ZDTkRPzR4PLSVtRA
S24/9,apartment_building,apartment_building|point_of_interest|service|establishment,,,"S24/9, Nathupur, Sector 24, Gurugram, Sikanderpur Ghosi, Haryana 122010, India",,,OPERATIONAL,https://maps.google.com/?cid=6764529657090874536&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJW0HeXgAfDTkRqBx_E-Jv4F0
Maina’s nest,housing_complex,housing_complex|point_of_interest|service|establishment,,,"3, S Block, Garden Estate, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",,,OPERATIONAL,https://maps.google.com/?cid=13319967377118397944&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJLQBdYAAfDTkR-AXv3MEH2rg
IPM INTERNATIONAL MOVERS AND PACKERS,transportation_service,transportation_service|point_of_interest|establishment,093107 84602,http://www.ipmipm.com/,"Shop No 45/7, U Block, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",5,2,OPERATIONAL,https://maps.google.com/?cid=12027103549169096674&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJzeFTyFQfDTkR4lcQpfTa6KY
MOJO Pizza - 2X Toppings,pizza_restaurant,pizza_restaurant|restaurant|food|point_of_interest|establishment,080 6817 2526,https://eatclub.in/,"GROUND FLOOR, S 3, LOHIA MARKET, Nathupur, Sector 24, Gurugram, Haryana 122010, India",4.7,55,OPERATIONAL,https://maps.google.com/?cid=9545268695909348474&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJLRZstD4fDTkRejRVUU6bd4Q
Blockchain Internships and Placement,employment_agency,employment_agency|point_of_interest|service|establishment,,,"F4M5+M29, S 1, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",,,OPERATIONAL,https://maps.google.com/?cid=8339219306104391014&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJZSXo2cEfDTkRZoVunMbbunM
