name,primary_type,all_types,phone,website,address,rating,reviews,status,maps_url,place_id
Saraf Sadan,apartment_building,apartment_building|service|point_of_interest|establishment,,,"1304, Sector 28, DLF Phase IV, Gurugram, Haryana 122009, India",,,OPERATIONAL,https://maps.google.com/?cid=6235389116477251255&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJ0ZIjInkZDTkRt572a12NiFY
Md Saddam electrician service and Interior,service,service|point_of_interest|establishment,098184 54269,,"Sector 28, DLF Phase IV, Gurugram, Haryana 122009, India",5,1,OPERATIONAL,https://maps.google.com/?cid=13355595070581315176&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJUzQqCBgZDTkRaBb1qfSaWLk
Emerald Enclave,apartment_building,apartment_building|service|point_of_interest|establishment,,,"1515, Sector 28, DLF City IV, Gurugram, Haryana 122009, India",4.8,4,OPERATIONAL,https://maps.google.com/?cid=113904637324172344&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJJXmuS94YDTkROBz6BaqrlAE
Sandeep Kumar,apartment_building,apartment_building|service|point_of_interest|establishment,,,"F39M+R2J, Sector 28, DLF City IV, Gurugram, Haryana 122002, India",,,OPERATIONAL,https://maps.google.com/?cid=8113578392750934283&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJZ9-ueAAZDTkRC0k0hY84mXA
100% Pure Natural Essential Oil Manufacturer & Supplier in India - Kshrey Aromatics,supplier,health|supplier|store|point_of_interest|establishment,098105 69811,,"1304, Sector 28, DLF Phase IV, Gurugram, Haryana 122009, India",4.7,81,OPERATIONAL,https://maps.google.com/?cid=6551564132949089238&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJIa6mWQwZDTkR1tueA97U61o
Haute24,store,shopping_mall|shoe_store|service|clothing_store|store|point_of_interest|establishment,095617 94706,https://haute24.com/,"1314, 13th Ave Rd, near Galleria Market, Sector 28, DLF Phase IV, Gurugram, Haryana 122009, India",4.2,1670,OPERATIONAL,https://maps.google.com/?cid=12519114828653346109&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJV7Zsm-a_wjsRPT01iJvUvK0
Precious Pearl Play School,child_care_agency,preschool|child_care_agency|school|educational_institution|service|point_of_interest|establishment,0124 257 4300,,"2002, DLF Phase IV,, Hamilton Ct Rd, Sector 28, DLF City IV, Gurugram, Haryana 122009, India",5,2,CLOSED_TEMPORARILY,https://maps.google.com/?cid=9508140829953063761&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJK-CNUd4YDTkRUXu9Y7Wz84M
Shivan and Narresh Home,housing_complex,housing_complex|service|point_of_interest|establishment,,,"1709, near Crosspoint Mall, Sector 28, DLF Phase IV, Gurugram, Haryana 122002, India",,,OPERATIONAL,https://maps.google.com/?cid=4737467317315849061&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJuc8uWAAZDTkRZUuix2zdvkE
PineboxFoods,bakery,bakery|food_store|store|food|point_of_interest|establishment,099900 40500,https://www.instagram.com/pineboxfoods?igsh=MWVjMjg1ZzIwdXo1ZQ==,"B 213, Supermart-1, Sector 28, DLF Phase IV, Gurugram, Haryana 122002, India",5,17,OPERATIONAL,https://maps.google.com/?cid=11555228417612044406&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJ24vRft4ZDTkRdthDCgZrXKA
LetsEmigrate Consulting Private Limited,travel_agency,travel_agency|service|point_of_interest|establishment,085955 51848,https://letsemigrate.com/,"No 360, 1, Sector 28, DLF Phase IV, Gurugram, Haryana 122009, India",5,23,OPERATIONAL,https://maps.google.com/?cid=10943856989583593526&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJVTL78N4YDTkRNlDO8PJj4Jc
