name,category,primary_type,phone_number,website,address,rating,reviews,maps_url
Novella Kitchens - Modular Kitchens and Wardrobes,manufacturer,furniture_store,9810902360,https://www.novellakitchens.com/,"Basement, 79, Golf Crse Rd, Sector 28, Chakkarpur, Gurugram, Haryana 122002, India",5,46,https://maps.google.com/?cid=17379571150642401469&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Beyond Sleep | Luxury Mattress Store in Gurugram,manufacturer,furniture_store,7048977566,https://beyondsleep.in/,"Shop no- . LGF-001, A & B, Lower Ground Floor, DLF City, Center, Mehrauli-Gurgaon Rd, Sector 28, Maruti Housing Colony, Gurugram, Haryana 122001, India",4.2,46,https://maps.google.com/?cid=6303480871228888568&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Dida,manufacturer,manufacturer,9971930058,https://www.didasports.com/,"V, Phase V, 785, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122016, India",4.2,43,https://maps.google.com/?cid=6188713192794567099&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Woro,manufacturer,service,9711101156,http://woromedia.com/,"Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122015, India",5,40,https://maps.google.com/?cid=6971822111012157054&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Digitos Technology Pvt Ltd,manufacturer,manufacturer,7303111044,https://digitos.io/,"Basement Plot, Phase-1, 765, Sector 42 Main Rd, Sector 42, Gurugram, Haryana 122002, India",4.3,38,https://maps.google.com/?cid=15920687877268804416&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
"Crocs - Ambience Mall, Gurgaon",manufacturer,shoe_store,7738942002,https://www.apparelgroup.in/footwear/crocs/,"NH- 8, Ambience Island, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",4.9,38,https://maps.google.com/?cid=6487580783123478986&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Kalister Events & Decoration Gurgaon),manufacturer,service,9810823803,https://instagram.com/kalister_events?igshid=1c57dejk4x3ln,"11, J-5, DLF Phase 2, Sector 25, Gurugram, Haryana 122002, India",5,34,https://maps.google.com/?cid=2771154982441156267&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Latest Outdoor Furniture,manufacturer,manufacturer,8448115357,https://www.latestoutdoorfurnitures.com/,"Shop No. 2, Metro Station Arjan Garh, Mehrauli-Gurgaon Rd, nr. Arjan Garh, opp. Metro Pillar No. 191, Arjan Garh, Aya Nagar, Delhi, New Delhi, Delhi 110047, India",4.8,34,https://maps.google.com/?cid=5379106431103097374&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
The DryLicious,manufacturer,manufacturer,9311811612,http://thedrylicious.in/,"Building No. 6A, Rao Lal Singh Market, Sector 18, Gurugram, Haryana 122015, India",4.6,32,https://maps.google.com/?cid=13875731095243262790&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Style Q Boutique,manufacturer,clothing_store,9810997352,,"208, behind CP Sharma Associates, Sector 27, Gurugram, Haryana 122002, India",4.9,31,https://maps.google.com/?cid=3340755624828635292&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
